timingsFajr,timingsSunrise,timingsDhuhr,timingsAsr,timingsSunset,timingsMaghrib,timingsIsha,timingsImsak,timingsMidnight,datereadable,datetimestamp,dategregoriandate,dategregorianformat,dategregorianday,dategregorianweekdayen,dategregorianmonthnumber,dategregorianmonthen,dategregorianyear,dategregoriandesignationabbreviated,dategregoriandesignationexpanded,datehijridate,datehijriformat,datehijriday,datehijriweekdayen,datehijriweekdayar,datehijrimonthnumber,datehijrimonthen,datehijrimonthar,datehijriyear,datehijridesignationabbreviated,datehijridesignationexpanded,metalatitude,metalongitude,metatimezone,metamethodname,metamethodparamsFajr,metamethodparamsIsha,metamethodparamsMaghrib,metalatitudeAdjustmentMethod,metamidnightMode,metaschool,metaoffsetImsak,metaoffsetFajr,metaoffsetSunrise,metaoffsetDhuhr,metaoffsetAsr,metaoffsetMaghrib,metaoffsetSunset,metaoffsetIsha,metaoffsetMidnight
02:41 (BST),04:46 (BST),13:12 (BST),18:45 (BST),21:27 (BST),21:29 (BST),23:02 (BST),02:31 (BST),01:07 (BST),21-Jun-21,1624262461,21/06/2021,DD-MM-YYYY,21,Monday,6,June,2021,AD,Anno Domini,11-11-1442,DD-MM-YYYY,11,Al Athnayn,الاثنين,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:42 (BST),04:47 (BST),13:12 (BST),18:45 (BST),21:28 (BST),21:29 (BST),23:02 (BST),02:32 (BST),01:07 (BST),22-Jun-21,1624348861,22/06/2021,DD-MM-YYYY,22,Tuesday,6,June,2021,AD,Anno Domini,12-11-1442,DD-MM-YYYY,12,Al Thalaata,الثلاثاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:42 (BST),04:47 (BST),13:12 (BST),18:45 (BST),21:28 (BST),21:29 (BST),23:02 (BST),02:32 (BST),01:07 (BST),23-Jun-21,1624435261,23/06/2021,DD-MM-YYYY,23,Wednesday,6,June,2021,AD,Anno Domini,13-11-1442,DD-MM-YYYY,13,Al Arba'a,الاربعاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:43 (BST),04:47 (BST),13:13 (BST),18:46 (BST),21:28 (BST),21:29 (BST),23:02 (BST),02:33 (BST),01:07 (BST),24-Jun-21,1624521661,24/06/2021,DD-MM-YYYY,24,Thursday,6,June,2021,AD,Anno Domini,14-11-1442,DD-MM-YYYY,14,Al Khamees,الخميس,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:43 (BST),04:48 (BST),13:13 (BST),18:46 (BST),21:28 (BST),21:29 (BST),23:02 (BST),02:33 (BST),01:08 (BST),25-Jun-21,1624608061,25/06/2021,DD-MM-YYYY,25,Friday,6,June,2021,AD,Anno Domini,15-11-1442,DD-MM-YYYY,15,Al Juma'a,الجمعة,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:44 (BST),04:48 (BST),13:13 (BST),18:46 (BST),21:28 (BST),21:29 (BST),23:02 (BST),02:34 (BST),01:08 (BST),26-Jun-21,1624694461,26/06/2021,DD-MM-YYYY,26,Saturday,6,June,2021,AD,Anno Domini,16-11-1442,DD-MM-YYYY,16,Al Sabt,السبت,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:45 (BST),04:49 (BST),13:13 (BST),18:46 (BST),21:28 (BST),21:29 (BST),23:02 (BST),02:35 (BST),01:08 (BST),27-Jun-21,1624780861,27/06/2021,DD-MM-YYYY,27,Sunday,6,June,2021,AD,Anno Domini,17-11-1442,DD-MM-YYYY,17,Al Ahad,الاحد,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:46 (BST),04:49 (BST),13:13 (BST),18:46 (BST),21:27 (BST),21:29 (BST),23:01 (BST),02:36 (BST),01:08 (BST),28-Jun-21,1624867261,28/06/2021,DD-MM-YYYY,28,Monday,6,June,2021,AD,Anno Domini,18-11-1442,DD-MM-YYYY,18,Al Athnayn,الاثنين,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:47 (BST),04:50 (BST),13:14 (BST),18:46 (BST),21:27 (BST),21:29 (BST),23:01 (BST),02:37 (BST),01:08 (BST),29-Jun-21,1624953661,29/06/2021,DD-MM-YYYY,29,Tuesday,6,June,2021,AD,Anno Domini,19-11-1442,DD-MM-YYYY,19,Al Thalaata,الثلاثاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
02:48 (BST),04:50 (BST),13:14 (BST),18:46 (BST),21:27 (BST),21:28 (BST),23:00 (BST),02:38 (BST),01:09 (BST),30-Jun-21,1625040061,30/06/2021,DD-MM-YYYY,30,Wednesday,6,June,2021,AD,Anno Domini,20-11-1442,DD-MM-YYYY,20,Al Arba'a,الاربعاء,11,Dhū al-Qaʿdah,ذوالقعدة,1442,AH,Anno Hegirae,51.7520209,-1.2577263,Europe/London,Custom,12,10,1,MIDDLE_OF_THE_NIGHT,STANDARD,HANAFI,0,0,0,5,0,0,0,0,0
